Species,Count,Location,Observation type,Observation date,Start Time,Duration,Distance,Area,Elevation,Party Size,Complete Checklist,# of species,Details
कबूतर (Columba livia (Feral Pigeon)),2,park,Traveling,"Apr 26, 2024",6:45 AM,10 minute(s),0.12 kilometer(s),,,1,false,20 species,
कोयल (Eudynamys scolopaceus),2,park,Traveling,"Apr 26, 2024",6:45 AM,10 minute(s),0.12 kilometer(s),,,1,false,20 species,
शिकरा (Accipiter badius),1,park,Traveling,"Apr 26, 2024",6:45 AM,10 minute(s),0.12 kilometer(s),,,1,false,20 species,
चील (Milvus migrans),1,park,Traveling,"Apr 26, 2024",6:45 AM,10 minute(s),0.12 kilometer(s),,,1,false,20 species,
ठठेरा बसंता (Psilopogon haemacephalus),1,park,Traveling,"Apr 26, 2024",6:45 AM,10 minute(s),0.12 kilometer(s),,,1,false,20 species,
तोता (Psittacula krameri),1,park,Traveling,"Apr 26, 2024",6:45 AM,10 minute(s),0.12 kilometer(s),,,1,false,20 species,
Indian Golden Oriole (Oriolus kundoo),1,park,Traveling,"Apr 26, 2024",6:45 AM,10 minute(s),0.12 kilometer(s),,,1,false,20 species,
भुजंगा (Dicrurus macrocercus),1,park,Traveling,"Apr 26, 2024",6:45 AM,10 minute(s),0.12 kilometer(s),,,1,false,20 species,
कौआ (Corvus splendens),1,park,Traveling,"Apr 26, 2024",6:45 AM,10 minute(s),0.12 kilometer(s),,,1,false,20 species,
दर्जिन (Orthotomus sutorius),2,park,Traveling,"Apr 26, 2024",6:45 AM,10 minute(s),0.12 kilometer(s),,,1,false,20 species,
गुलदुम बुलबुल (Pycnonotus cafer),1,park,Traveling,"Apr 26, 2024",6:45 AM,10 minute(s),0.12 kilometer(s),,,1,false,20 species,
बबूना (Zosterops palpebrosus),1,park,Traveling,"Apr 26, 2024",6:45 AM,10 minute(s),0.12 kilometer(s),,,1,false,20 species,
कलचुरी (Copsychus fulicatus),1,park,Traveling,"Apr 26, 2024",6:45 AM,10 minute(s),0.12 kilometer(s),,,1,false,20 species,
दयाल (Copsychus saularis),1,park,Traveling,"Apr 26, 2024",6:45 AM,10 minute(s),0.12 kilometer(s),,,1,false,20 species,
Tickell's Blue Flycatcher (Cyornis tickelliae),1,park,Traveling,"Apr 26, 2024",6:45 AM,10 minute(s),0.12 kilometer(s),,,1,false,20 species,
Pale-billed Flowerpecker (Dicaeum erythrorhynchos),2,park,Traveling,"Apr 26, 2024",6:45 AM,10 minute(s),0.12 kilometer(s),,,1,false,20 species,
Purple-rumped Sunbird (Leptocoma zeylonica),2,park,Traveling,"Apr 26, 2024",6:45 AM,10 minute(s),0.12 kilometer(s),,,1,false,20 species,
बैंगनी शक्करखोरा (Cinnyris asiaticus),2,park,Traveling,"Apr 26, 2024",6:45 AM,10 minute(s),0.12 kilometer(s),,,1,false,20 species,
घरेलू गौरैया (Passer domesticus),1,park,Traveling,"Apr 26, 2024",6:45 AM,10 minute(s),0.12 kilometer(s),,,1,false,20 species,
सफ़ेद भौंह खंजन (Motacilla maderaspatensis),1,park,Traveling,"Apr 26, 2024",6:45 AM,10 minute(s),0.12 kilometer(s),,,1,false,20 species,
